Fecha;Producto;unidades;Impuesto Componente Base;Impuesto Componente Variable;Credito fiscal Componente Variable;Impuesto Específico Resultante
28-07-2011;Gas Natural Comprimido de Consumo Vehicular;UTM/1000m3;1,93;0;;1,9300
04-08-2011;Gasolina Automotriz;UTM/m3;6;-;;6,0000
04-08-2011;Petróleo Diesel;UTM/m3;1,5;-;;1,5000
04-08-2011;Gas Licuado de Petróleo de Consumo Vehicular;UTM/m3;1,4;0;;1,4000
04-08-2011;Gas Natural Comprimido de Consumo Vehicular;UTM/1000m3;1,93;0;;1,9300
11-08-2011;Gasolina Automotriz;UTM/m3;6;-;;6,0000
11-08-2011;Petróleo Diesel;UTM/m3;1,5;-;;1,5000
11-08-2011;Gas Licuado de Petróleo de Consumo Vehicular;UTM/m3;1,4;0;;1,4000
11-08-2011;Gas Natural Comprimido de Consumo Vehicular;UTM/1000m3;1,93;0;;1,9300
18-08-2011;Gasolina Automotriz;UTM/m3;6;-;;6,0000
18-08-2011;Petróleo Diesel;UTM/m3;1,5;-;;1,5000
18-08-2011;Gas Licuado de Petróleo de Consumo Vehicular;UTM/m3;1,4;0;;1,4000
18-08-2011;Gas Natural Comprimido de Consumo Vehicular;UTM/1000m3;1,93;0;;1,9300
25-08-2011;Gasolina Automotriz;UTM/m3;6;-;;6,0000
25-08-2011;Petróleo Diesel;UTM/m3;1,5;-;;1,5000
25-08-2011;Gas Licuado de Petróleo de Consumo Vehicular;UTM/m3;1,4;0;;1,4000
25-08-2011;Gas Natural Comprimido de Consumo Vehicular;UTM/1000m3;1,93;0;;1,9300
01-09-2011;Gasolina Automotriz;UTM/m3;6;-;;6,0000
01-09-2011;Petróleo Diesel;UTM/m3;1,5;-;;1,5000
01-09-2011;Gas Licuado de Petróleo de Consumo Vehicular;UTM/m3;1,4;0;;1,4000
01-09-2011;Gas Natural Comprimido de Consumo Vehicular;UTM/1000m3;1,93;0;;1,9300
08-09-2011;Gasolina Automotriz;UTM/m3;6;-;;6,0000
08-09-2011;Petróleo Diesel;UTM/m3;1,5;-;;1,5000
08-09-2011;Gas Licuado de Petróleo de Consumo Vehicular;UTM/m3;1,4;0;;1,4000
08-09-2011;Gas Natural Comprimido de Consumo Vehicular;UTM/1000m3;1,93;0;;1,9300
15-09-2011;Gasolina Automotriz;UTM/m3;6;-;;6,0000
15-09-2011;Petróleo Diesel;UTM/m3;1,5;-;;1,5000
15-09-2011;Gas Licuado de Petróleo de Consumo Vehicular;UTM/m3;1,4;0;;1,4000
15-09-2011;Gas Natural Comprimido de Consumo Vehicular;UTM/1000m3;1,93;0;;1,9300
22-09-2011;Gasolina Automotriz;UTM/m3;6;-;;6,0000
22-09-2011;Petróleo Diesel;UTM/m3;1,5;-;;1,5000
22-09-2011;Gas Licuado de Petróleo de Consumo Vehicular;UTM/m3;1,4;0;;1,4000
22-09-2011;Gas Natural Comprimido de Consumo Vehicular;UTM/1000m3;1,93;0;;1,9300
29-09-2011;Gasolina Automotriz;UTM/m3;6;-;;6,0000
29-09-2011;Petróleo Diesel;UTM/m3;1,5;-;;1,5000
29-09-2011;Gas Licuado de Petróleo de Consumo Vehicular;UTM/m3;1,4;0;;1,4000
29-09-2011;Gas Natural Comprimido de Consumo Vehicular;UTM/1000m3;1,93;0;;1,9300
06-10-2011;Gasolina Automotriz;UTM/m3;6;-;;6,0000
06-10-2011;Petróleo Diesel;UTM/m3;1,5;-;;1,5000
06-10-2011;Gas Licuado de Petróleo de Consumo Vehicular;UTM/m3;1,4;0;;1,4000
06-10-2011;Gas Natural Comprimido de Consumo Vehicular;UTM/1000m3;1,93;0;;1,9300
13-10-2011;Gasolina Automotriz;UTM/m3;6;-;;6,0000
13-10-2011;Petróleo Diesel;UTM/m3;1,5;-;;1,5000
13-10-2011;Gas Licuado de Petróleo de Consumo Vehicular;UTM/m3;1,4;0;;1,4000
13-10-2011;Gas Natural Comprimido de Consumo Vehicular;UTM/1000m3;1,93;0;;1,9300
20-10-2011;Gasolina Automotriz;UTM/m3;6;-;;6,0000
20-10-2011;Petróleo Diesel;UTM/m3;1,5;-;;1,5000
20-10-2011;Gas Licuado de Petróleo de Consumo Vehicular;UTM/m3;1,4;0;;1,4000
20-10-2011;Gas Natural Comprimido de Consumo Vehicular;UTM/1000m3;1,93;0;;1,9300
27-10-2011;Gasolina Automotriz;UTM/m3;6;-;;6,0000
27-10-2011;Petróleo Diesel;UTM/m3;1,5;-;;1,5000
27-10-2011;Gas Licuado de Petróleo de Consumo Vehicular;UTM/m3;1,4;0;;1,4000
27-10-2011;Gas Natural Comprimido de Consumo Vehicular;UTM/1000m3;1,93;0;;1,9300
03-11-2011;Gasolina Automotriz;UTM/m3;6;-;;6,0000
03-11-2011;Petróleo Diesel;UTM/m3;1,5;-;;1,5000
03-11-2011;Gas Licuado de Petróleo de Consumo Vehicular;UTM/m3;1,4;0;;1,4000
03-11-2011;Gas Natural Comprimido de Consumo Vehicular;UTM/1000m3;1,93;0;;1,9300
10-11-2011;Gasolina Automotriz;UTM/m3;6;-;;6,0000
10-11-2011;Petróleo Diesel;UTM/m3;1,5;-;;1,5000
10-11-2011;Gas Licuado de Petróleo de Consumo Vehicular;UTM/m3;1,4;0;;1,4000
10-11-2011;Gas Natural Comprimido de Consumo Vehicular;UTM/1000m3;1,93;0;;1,9300
17-11-2011;Gasolina Automotriz;UTM/m3;6;-;;6,0000
17-11-2011;Petróleo Diesel;UTM/m3;1,5;-;;1,5000
17-11-2011;Gas Licuado de Petróleo de Consumo Vehicular;UTM/m3;1,4;0;;1,4000
17-11-2011;Gas Natural Comprimido de Consumo Vehicular;UTM/1000m3;1,93;0;;1,9300
24-11-2011;Gasolina Automotriz;UTM/m3;6;-;;6,0000
24-11-2011;Petróleo Diesel;UTM/m3;1,5;-;;1,5000
24-11-2011;Gas Licuado de Petróleo de Consumo Vehicular;UTM/m3;1,4;0;;1,4000
24-11-2011;Gas Natural Comprimido de Consumo Vehicular;UTM/1000m3;1,93;0;;1,9300
01-12-2011;Gasolina Automotriz;UTM/m3;6;-;;6,0000
01-12-2011;Petróleo Diesel;UTM/m3;1,5;-;;1,5000
01-12-2011;Gas Licuado de Petróleo de Consumo Vehicular;UTM/m3;1,4;0;;1,4000
01-12-2011;Gas Natural Comprimido de Consumo Vehicular;UTM/1000m3;1,93;0;;1,9300
08-12-2011;Gasolina Automotriz;UTM/m3;6;-;;6,0000
08-12-2011;Petróleo Diesel;UTM/m3;1,5;-;;1,5000
08-12-2011;Gas Licuado de Petróleo de Consumo Vehicular;UTM/m3;1,4;0;;1,4000
08-12-2011;Gas Natural Comprimido de Consumo Vehicular;UTM/1000m3;1,93;0;;1,9300
15-12-2011;Gasolina Automotriz;UTM/m3;6;-;;6,0000
15-12-2011;Petróleo Diesel;UTM/m3;1,5;-;;1,5000
15-12-2011;Gas Licuado de Petróleo de Consumo Vehicular;UTM/m3;1,4;0;;1,4000
15-12-2011;Gas Natural Comprimido de Consumo Vehicular;UTM/1000m3;1,93;0;;1,9300
22-12-2011;Gasolina Automotriz;UTM/m3;6;-;;6,0000
22-12-2011;Petróleo Diesel;UTM/m3;1,5;-;;1,5000
22-12-2011;Gas Licuado de Petróleo de Consumo Vehicular;UTM/m3;1,4;0;;1,4000
22-12-2011;Gas Natural Comprimido de Consumo Vehicular;UTM/1000m3;1,93;0;;1,9300
29-12-2011;Gasolina Automotriz;UTM/m3;6;-;;6,0000
29-12-2011;Petróleo Diesel;UTM/m3;1,5;-;;1,5000
29-12-2011;Gas Licuado de Petróleo de Consumo Vehicular;UTM/m3;1,4;0;;1,4000
29-12-2011;Gas Natural Comprimido de Consumo Vehicular;UTM/1000m3;1,93;0;;1,9300
05-01-2012;Gasolina Automotriz;UTM/m3;6;-;;6,0000
05-01-2012;Petróleo Diesel;UTM/m3;1,5;-;;1,5000
05-01-2012;Gas Licuado de Petróleo de Consumo Vehicular;UTM/m3;1,4;0;;1,4000
05-01-2012;Gas Natural Comprimido de Consumo Vehicular;UTM/1000m3;1,93;0;;1,9300
12-01-2012;Gasolina Automotriz;UTM/m3;6;-;;6,0000
12-01-2012;Petróleo Diesel;UTM/m3;1,5;-;;1,5000
12-01-2012;Gas Licuado de Petróleo de Consumo Vehicular;UTM/m3;1,4;0;;1,4000
12-01-2012;Gas Natural Comprimido de Consumo Vehicular;UTM/1000m3;1,93;0;;1,9300
19-01-2012;Gasolina Automotriz;UTM/m3;6;-;;6,0000
19-01-2012;Petróleo Diesel;UTM/m3;1,5;-;;1,5000
19-01-2012;Gas Licuado de Petróleo de Consumo Vehicular;UTM/m3;1,4;0;;1,4000
19-01-2012;Gas Natural Comprimido de Consumo Vehicular;UTM/1000m3;1,93;0;;1,9300
26-01-2012;Gasolina Automotriz;UTM/m3;6;-;;6,0000
26-01-2012;Petróleo Diesel;UTM/m3;1,5;-;;1,5000
26-01-2012;Gas Licuado de Petróleo de Consumo Vehicular;UTM/m3;1,4;0;;1,4000
26-01-2012;Gas Natural Comprimido de Consumo Vehicular;UTM/1000m3;1,93;0;;1,9300
